handle,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness
RepRaskin,Jamie Raskin,Q4 (highest),D,36.23,914,0.2112845632714307,0.7506025645093964,0.3238512035010941,0.5153172866520788,0.5667396061269147,0.12266084860996425,0.20680346029819646,0.28932742551759444,0.05783504360549415,0.09067226097604696
RepJames,John James,Q4 (highest),R,25.76,1055,0.22268849746875855,0.7387279697884364,0.28720379146919434,0.5127962085308057,0.5734597156398105,0.11304022483163513,0.18346132992996314,0.3000897096537585,0.044175978289225745,0.08769206650349885
RepJasonCrow,Jason Crow,Q4 (highest),D,28.16,1375,0.2231900328722867,0.685687270766728,0.24727272727272728,0.47854545454545455,0.4850909090909091,0.0967112387037751,0.23254835037525146,0.2844590704006523,0.03945082805406255,0.08899630625203078
RepMoulton,Seth Moulton,Q4 (highest),D,15.05,967,0.22958837602106466,0.6277057053783702,0.20062047569803515,0.4581178903826267,0.4043433298862461,0.1017116532842084,0.22184261739358854,0.2339164897201283,0.018740200337502604,0.07274653680769207
RepAshleyHinson,Ashley Hinson,Q4 (highest),R,15.97,2503,0.23194653453038208,0.7350405542118666,0.2912504994007191,0.5109868158210148,0.5625249700359568,0.1337423951134734,0.14740555802090366,0.35726140290073277,0.04403727233063933,0.06471701951479238
RepBurgessOwens,Burgess Owens,Q4 (highest),R,19.7,1877,0.23309997284609266,0.7256391933849212,0.2717101758124667,0.4981353223228556,0.5615343633457646,0.1211552572238842,0.20447273209947692,0.33275459246186107,0.0470002450500955,0.046239525137872765
RepMaxwellFrost,Maxwell Frost,Q4 (highest),D,48.98,545,0.2516797295950968,0.6492051081531156,0.2,0.46972477064220186,0.45688073394495415,0.07548412396273478,0.1764689402112207,0.2544265190818146,0.03198775402590662,0.09753311837557699
Rep_Stansbury,Melanie A. Stansbury,Q4 (highest),D,15.58,1893,0.29249266814883274,0.7161638406237132,0.2519809825673534,0.5525620707871104,0.566296883254094,0.13018614990054686,0.16363209178933832,0.2885990631802439,0.03659239404097321,0.07969122787745521
RepKiley,Kevin Kiley,Q4 (highest),R,17.58,322,0.29668680453522606,0.6841975056220482,0.21428571428571427,0.5217391304347826,0.546583850931677,0.08175465327659358,0.18214424587829578,0.3360000467697058,0.03430427022877373,0.08407732302822625
RepJoshHarder,Josh Harder,Q4 (highest),D,15.08,838,0.3109053551866217,0.7174089905538865,0.2398568019093079,0.5525059665871122,0.5930787589498807,0.055577370914175445,0.09853460268446865,0.3336752679718265,0.03303592441065776,0.06983344066980611
RepSpanberger,Abigail Davis Spanberger,Q4 (highest),D,20.83,2691,0.3295451883754071,0.6470672333881762,0.18431809736157562,0.5332590115198811,0.4830917874396135,0.08413728936885098,0.1989188034260344,0.3386046471752036,0.02287678203921833,0.0667436542720556
RepKatCammack,Kat Cammack,Q4 (highest),R,16.45,1714,0.3525038848575661,0.5923548716860544,0.1266044340723454,0.5163360560093349,0.43348891481913654,0.07448789213366054,0.20479510039657017,0.344486631989879,0.017599660820038516,0.06079555196199771
RepFischbach,Michelle Fischbach,Q4 (highest),R,14.02,820,0.3724608086594721,0.6959237050867041,0.2121951219512195,0.5890243902439024,0.6036585365853658,0.09014964664032643,0.17878727916881534,0.4140355763047942,0.023131769533228597,0.06426899961498278
reptomsuozzi,Thomas R. Suozzi,Q4 (highest),D,13.52,478,0.37861476838588715,0.5899119565806292,0.11715481171548117,0.5397489539748954,0.4686192468619247,0.06468193365526907,0.13444022464116098,0.36458967965878997,0.030839439424324176,0.06698706400861752
RepMcClellan,Jennifer L. McClellan,Q4 (highest),D,23.31,2261,0.3818124594123213,0.6352703817974121,0.15568332596196374,0.5674480318443167,0.5241043785935426,0.08555987167216102,0.23661807286813355,0.38578492555095006,0.014879932114997284,0.0634100944131665
